id N vR1 vR2 vR3 vR4 vR5 vR6 vR7 vR8 vR9 vR10 vR11 vR12 vR13 vR14 vR15
 1.000000e+00  1.620000e+02  6.791315e-01  4.930343e-01 -1.687481e-02  4.438703e-02  1.347626e-01  4.776596e-01  2.531685e-02  2.023406e-02  1.852351e-01  1.065407e-02 -8.478197e-02  5.277905e-02  3.044081e-01  2.042348e-01  1.567344e-01
 2.000000e+00  2.080000e+02  5.029317e-01  2.660342e-01  2.433101e-01  1.730382e-01  1.178292e-01  3.410549e-01  1.765807e-01  1.206800e-01  9.477220e-02  1.270473e-01  9.657876e-02  6.950827e-02  3.116888e-01  3.499855e-01  2.225504e-01
 3.000000e+00  3.250000e+02  5.366704e-01  4.704265e-01  2.884586e-01  2.143350e-01  2.138241e-01  3.759569e-01  1.730031e-01  1.525330e-01  4.438599e-02  1.870186e-01  1.217185e-01  1.769662e-02  4.035730e-01  3.579755e-01  2.504754e-01
 4.000000e+00  1.900000e+02  4.096289e-01            NA  1.928425e-01            NA            NA            NA  4.815973e-02            NA            NA            NA            NA            NA            NA            NA            NA
 5.000000e+00  2.710000e+02  3.837090e-01  2.432324e-01            NA            NA            NA  1.972753e-01            NA            NA            NA            NA            NA            NA            NA            NA            NA
 6.000000e+00  2.680000e+02  5.176632e-01  4.394998e-01  2.401592e-01  4.283650e-02  7.637959e-02  4.378810e-01  2.422418e-01  1.124469e-01  1.614012e-01  1.518134e-01  2.361891e-02  1.281055e-01  2.562746e-01  2.488197e-01  7.142882e-02
 7.000000e+00  1.810000e+02  4.071470e-01  2.651543e-01  1.071234e-01  1.259206e-01  1.104191e-01  1.465392e-01  2.194954e-01  2.904665e-01  1.400556e-01 -8.113037e-02  5.229524e-02  4.972982e-04  5.276152e-01  3.883692e-01  3.340566e-01
 8.000000e+00  3.240000e+02  2.415478e-01  1.694916e-01  3.472959e-02  1.027596e-01  4.227758e-03  2.181207e-01  2.369705e-02  2.098913e-03  5.921721e-03  6.428013e-02  2.488546e-02  6.829099e-02  5.251537e-01  2.505854e-01  2.242150e-01
 9.000000e+00  2.200000e+02            NA            NA            NA            NA            NA            NA  2.208543e-01  3.462964e-01  2.611913e-01            NA            NA            NA  5.574331e-01  4.345682e-01  6.528950e-01
 1.000000e+01  1.670000e+02  4.858717e-01  4.388781e-01  3.658646e-01  2.151539e-01  2.600480e-01  4.070896e-01  2.765769e-01  2.112177e-01  3.028877e-01  3.756684e-01  2.711329e-01  2.555705e-01  3.186294e-01  3.325365e-01  2.554221e-01
 1.100000e+01  2.410000e+02  1.718214e-01  2.820083e-01  1.507159e-01  1.049469e-01  3.109127e-02  1.058904e-01  3.563985e-02  2.960092e-02  8.812751e-03  1.877939e-01  1.158720e-01  1.042817e-01  5.525375e-01  4.721597e-01  4.318688e-01
 1.200000e+01  2.030000e+02  4.438195e-01  3.988981e-01  1.464553e-01  1.609191e-01  1.386259e-01  4.611100e-01  2.377982e-01  1.885398e-01  2.210141e-01  4.155560e-02  1.332098e-01  1.356749e-01  6.393291e-01  6.097465e-01  7.391125e-01
 1.300000e+01  1.620000e+02            NA            NA  2.337629e-01  5.644451e-02            NA            NA            NA            NA            NA            NA            NA            NA  4.199145e-01            NA            NA
 1.400000e+01  1.600000e+02  6.077972e-01  6.766255e-01  2.366114e-01  2.535844e-01  3.756103e-01  6.428031e-01  1.001710e-01  2.143047e-01  2.779793e-01  1.642654e-01  2.663107e-01  2.331660e-01  2.207085e-01  3.640461e-01  3.005793e-01
 1.500000e+01  2.180000e+02            NA            NA            NA            NA            NA            NA  1.561440e-01  8.600022e-02  3.233644e-02            NA            NA            NA  5.993309e-01  3.407381e-01  3.730049e-01
 1.600000e+01  2.100000e+02  4.721453e-01  1.805934e-01  3.173300e-01  1.683407e-01  1.346387e-01  1.827191e-01  2.696299e-01  1.276233e-01  1.395748e-01  9.155075e-02  8.032971e-02  5.551807e-02  2.706651e-01  2.800025e-01  9.243679e-02
 1.700000e+01  2.010000e+02  5.884040e-01  3.401158e-01  6.979590e-02  1.028559e-01 -3.725420e-03  3.228607e-01  9.842394e-03 -1.425217e-02 -2.482233e-02 -3.228061e-02  6.149457e-02  5.448567e-02  4.515943e-01  1.625075e-01  1.895053e-01
 1.800000e+01  1.870000e+02  6.237588e-01  4.903409e-01  6.342312e-02 -1.719237e-02 -1.109659e-02  3.310987e-01 -4.136935e-02 -1.035778e-02 -2.047381e-02 -5.639592e-02  1.168927e-01  1.985734e-02  2.632843e-01  2.086416e-01  1.639273e-01
