id N vR1 vR2 vR3 vR4 vR5 vR6 vR7 vR8 vR9 vR10 vR11 vR12 vR13 vR14 vR15
 1.000000e+00  1.620000e+02  6.778014e-01  5.940589e-01  3.774883e-02  1.333373e-02  1.043490e-01  5.810615e-01  4.841930e-02  5.047800e-02  1.771451e-01 -3.863008e-02  2.500676e-02  9.537444e-02  5.072345e-01  2.684662e-01  3.213453e-01
 2.000000e+00  2.080000e+02  5.438366e-01  3.898138e-01  8.265806e-02  8.867918e-02  8.327833e-02  3.066847e-01  1.235647e-01  1.444865e-01  1.396582e-01 -1.629205e-02  3.992184e-03  1.405106e-02  6.830131e-01  5.192901e-01  6.548112e-01
 3.000000e+00  3.250000e+02  5.757241e-01  3.702510e-01  2.275345e-01  1.982384e-01  1.627950e-01  3.757289e-01  2.161926e-01  1.532338e-01  1.499913e-01  1.302949e-01  7.860074e-02  5.600131e-02  4.966241e-01  4.136592e-01  4.204095e-01
 4.000000e+00  1.900000e+02  4.615075e-01            NA  2.414124e-02            NA            NA            NA  7.232512e-02            NA            NA            NA            NA            NA            NA            NA            NA
 5.000000e+00  2.710000e+02  3.836356e-01  1.777230e-02            NA            NA            NA  1.402013e-01            NA            NA            NA            NA            NA            NA            NA            NA            NA
 6.000000e+00  2.680000e+02  5.848016e-01  4.252391e-01  1.743819e-01  1.326092e-01  8.548684e-02  4.641371e-01  1.775122e-01  1.022602e-01  1.366338e-01  1.614337e-01  1.199850e-01  1.472946e-01  6.053603e-01  4.752956e-01  4.935674e-01
 7.000000e+00  1.810000e+02  5.233851e-01  2.666078e-01  2.358968e-01  8.036807e-02  8.104890e-02  3.198867e-01  1.106758e-01 -5.924273e-02  3.265308e-02  1.383382e-01 -2.809300e-02  1.525241e-02  3.188238e-01  4.659189e-01  3.491751e-01
 8.000000e+00  3.240000e+02  3.456325e-01  4.754032e-01 -7.405129e-02 -4.005801e-02  3.235397e-02  3.024257e-01  3.095921e-02  2.835388e-04  3.888406e-02 -2.502714e-02 -7.968133e-02 -4.649288e-03  2.742768e-01  1.998212e-01  1.821050e-01
 9.000000e+00  2.200000e+02            NA            NA            NA            NA            NA            NA  1.691666e-01  1.722175e-01  1.195458e-01            NA            NA            NA  1.768909e-01  4.843806e-01  1.860540e-01
 1.000000e+01  1.670000e+02  3.848841e-01  5.090362e-01  2.597407e-01  2.174340e-01  1.612640e-01  4.570924e-01  4.447169e-01  3.663319e-01  2.582638e-01  3.283356e-01  2.525184e-01  2.697437e-01  5.785359e-01  5.194823e-01  5.479788e-01
 1.100000e+01  2.410000e+02  1.355450e-01  1.764742e-01  1.050311e-01  4.440733e-02 -6.405069e-02  1.679379e-02 -3.898595e-02 -1.042089e-01 -1.130176e-01 -1.733823e-02 -4.647222e-02 -6.588677e-02  4.644924e-01  3.325676e-01  2.497584e-01
 1.200000e+01  2.030000e+02  4.468576e-01  1.140860e-01  2.465469e-01  5.034273e-02  8.770672e-02  1.653747e-01  3.013975e-01  1.076216e-01  2.592273e-01  5.582513e-02  2.971015e-02  1.457841e-01  3.074024e-01  3.668641e-01  2.052515e-01
 1.300000e+01  1.620000e+02            NA            NA  4.114348e-03  9.792988e-02            NA            NA            NA            NA            NA            NA            NA            NA  3.655595e-01            NA            NA
 1.400000e+01  1.600000e+02  6.077037e-01  3.925757e-01  2.194444e-01  3.356884e-01  3.089743e-01  3.872507e-01  2.929512e-01  3.357343e-01  4.193824e-01  2.473140e-01  2.741594e-01  2.103713e-01  4.183706e-01  4.837153e-01  5.458758e-01
 1.500000e+01  2.180000e+02            NA            NA            NA            NA            NA            NA -6.947460e-03  1.183146e-01  1.608073e-02            NA            NA            NA  3.594828e-01  2.774326e-01  4.962776e-02
 1.600000e+01  2.100000e+02  3.627777e-01  2.631918e-01  1.058657e-01  9.911314e-02  7.964249e-02  2.330766e-01  4.880018e-02  2.832229e-02  8.122228e-02  2.394364e-02  3.528018e-02 -1.171019e-02  6.180244e-01  5.205411e-01  6.064630e-01
